Trial,Reward,Strategy
506,0,EpsilonGreedy
507,0,EpsilonGreedy
508,0,EpsilonGreedy
509,0,EpsilonGreedy
510,0,EpsilonGreedy
511,0,EpsilonGreedy
512,0,EpsilonGreedy
513,1,EpsilonGreedy
514,1,EpsilonGreedy
515,1,EpsilonGreedy
516,0,EpsilonGreedy
517,0,EpsilonGreedy
518,1,EpsilonGreedy
519,0,EpsilonGreedy
520,0,EpsilonGreedy
521,1,EpsilonGreedy
522,1,EpsilonGreedy
523,0,EpsilonGreedy
524,1,EpsilonGreedy
525,0,EpsilonGreedy
526,0,EpsilonGreedy
527,0,EpsilonGreedy
528,0,EpsilonGreedy
529,1,EpsilonGreedy
530,0,EpsilonGreedy
531,0,EpsilonGreedy
532,0,EpsilonGreedy
533,1,EpsilonGreedy
534,0,EpsilonGreedy
535,0,EpsilonGreedy
536,0,EpsilonGreedy
537,0,EpsilonGreedy
538,1,EpsilonGreedy
539,0,EpsilonGreedy
540,0,EpsilonGreedy
541,0,EpsilonGreedy
542,1,EpsilonGreedy
543,0,EpsilonGreedy
544,0,EpsilonGreedy
545,1,EpsilonGreedy
546,0,EpsilonGreedy
547,0,EpsilonGreedy
548,1,EpsilonGreedy
549,0,EpsilonGreedy
550,1,EpsilonGreedy
551,0,EpsilonGreedy
552,0,EpsilonGreedy
553,0,EpsilonGreedy
554,0,EpsilonGreedy
555,1,EpsilonGreedy
556,0,EpsilonGreedy
557,0,EpsilonGreedy
558,0,EpsilonGreedy
559,0,EpsilonGreedy
560,0,EpsilonGreedy
561,0,EpsilonGreedy
562,0,EpsilonGreedy
563,1,EpsilonGreedy
564,0,EpsilonGreedy
565,1,EpsilonGreedy
566,0,EpsilonGreedy
567,0,EpsilonGreedy
568,0,EpsilonGreedy
569,1,EpsilonGreedy
570,1,EpsilonGreedy
571,0,EpsilonGreedy
572,0,EpsilonGreedy
573,0,EpsilonGreedy
574,0,EpsilonGreedy
575,1,EpsilonGreedy
576,0,EpsilonGreedy
577,0,EpsilonGreedy
578,0,EpsilonGreedy
579,0,EpsilonGreedy
580,0,EpsilonGreedy
581,0,EpsilonGreedy
582,1,EpsilonGreedy
583,0,EpsilonGreedy
584,0,EpsilonGreedy
585,0,EpsilonGreedy
586,1,EpsilonGreedy
587,1,EpsilonGreedy
588,0,EpsilonGreedy
589,1,EpsilonGreedy
590,0,EpsilonGreedy
591,0,EpsilonGreedy
592,1,EpsilonGreedy
593,0,EpsilonGreedy
594,1,EpsilonGreedy
595,1,EpsilonGreedy
596,0,EpsilonGreedy
597,1,EpsilonGreedy
598,0,EpsilonGreedy
599,0,EpsilonGreedy
600,0,EpsilonGreedy
601,0,EpsilonGreedy
602,0,EpsilonGreedy
603,1,EpsilonGreedy
604,0,EpsilonGreedy
605,0,EpsilonGreedy
606,0,EpsilonGreedy
607,1,EpsilonGreedy
608,0,EpsilonGreedy
609,0,EpsilonGreedy
610,0,EpsilonGreedy
611,0,EpsilonGreedy
612,0,EpsilonGreedy
613,1,EpsilonGreedy
614,0,EpsilonGreedy
615,1,EpsilonGreedy
616,0,EpsilonGreedy
617,0,EpsilonGreedy
618,0,EpsilonGreedy
619,0,EpsilonGreedy
620,0,EpsilonGreedy
621,0,EpsilonGreedy
622,1,EpsilonGreedy
623,0,EpsilonGreedy
624,0,EpsilonGreedy
625,0,EpsilonGreedy
626,1,EpsilonGreedy
627,0,EpsilonGreedy
628,1,EpsilonGreedy
629,0,EpsilonGreedy
630,0,EpsilonGreedy
631,0,EpsilonGreedy
632,0,EpsilonGreedy
633,0,EpsilonGreedy
634,0,EpsilonGreedy
635,1,EpsilonGreedy
636,0,EpsilonGreedy
637,0,EpsilonGreedy
638,0,EpsilonGreedy
639,0,EpsilonGreedy
640,0,EpsilonGreedy
641,0,EpsilonGreedy
642,1,EpsilonGreedy
643,1,EpsilonGreedy
644,0,EpsilonGreedy
645,0,EpsilonGreedy
646,1,EpsilonGreedy
647,1,EpsilonGreedy
648,1,EpsilonGreedy
649,0,EpsilonGreedy
